task_norm,occupation_norm,year,paper_year_count
monitor program performance to ensure efficient and problem-free operations,software quality assurance analysts and testers,2025.0,154
monitor progress of fundraising drives,fundraisers,2024.0,4
monitor regulatory activity to maintain compliance with records and document management laws,document management specialists,2023.0,11
monitor regulatory activity to maintain compliance with records and document management laws,document management specialists,2024.0,67
monitor regulatory activity to maintain compliance with records and document management laws,document management specialists,2025.0,27
monitor regulatory or tax law changes to ensure fund compliance or to capitalize on development opportunities,investment fund managers,2023.0,1
monitor regulatory or tax law changes to ensure fund compliance or to capitalize on development opportunities,investment fund managers,2024.0,9
monitor regulatory or tax law changes to ensure fund compliance or to capitalize on development opportunities,investment fund managers,2025.0,8
monitor security system performance logs to identify problems and notify security specialists when problems occur,web developers,2023.0,21
monitor security system performance logs to identify problems and notify security specialists when problems occur,web developers,2024.0,84
monitor security system performance logs to identify problems and notify security specialists when problems occur,web developers,2025.0,42
"monitor shipments to ensure that goods come in on time, and resolve problems related to undelivered goods","purchasing agents, except wholesale, retail, and farm products",2024.0,11
"monitor shipments to ensure that goods come in on time, and resolve problems related to undelivered goods","purchasing agents, except wholesale, retail, and farm products",2025.0,3
monitor status of loans and accounts to ensure that payments are up to date,"bookkeeping, accounting, and auditing clerks",2023.0,3
monitor status of loans and accounts to ensure that payments are up to date,"bookkeeping, accounting, and auditing clerks",2024.0,7
monitor status of loans and accounts to ensure that payments are up to date,"bookkeeping, accounting, and auditing clerks",2025.0,4
"monitor strength, clarity, and reliability of incoming and outgoing signals, and adjust equipment as necessary to maintain quality broadcasts",broadcast technicians,2023.0,2
"monitor strength, clarity, and reliability of incoming and outgoing signals, and adjust equipment as necessary to maintain quality broadcasts",broadcast technicians,2024.0,4
"monitor strength, clarity, and reliability of incoming and outgoing signals, and adjust equipment as necessary to maintain quality broadcasts",broadcast technicians,2025.0,2
monitor suppliers' activities to assess performance in meeting quality or delivery requirements,supply chain managers,2023.0,3
monitor suppliers' activities to assess performance in meeting quality or delivery requirements,supply chain managers,2024.0,27
monitor suppliers' activities to assess performance in meeting quality or delivery requirements,supply chain managers,2025.0,8
monitor system operation to detect potential problems,computer systems engineers/architects,2023.0,58
monitor system operation to detect potential problems,computer systems engineers/architects,2024.0,221
monitor system operation to detect potential problems,computer systems engineers/architects,2025.0,95
"monitor systems for intrusions or denial of service attacks, and report security breaches to appropriate personnel",web administrators,2023.0,3
"monitor testing procedures to ensure that all tests are performed according to established item specifications, standard test methods, or protocols",quality control analysts,2023.0,7
"monitor testing procedures to ensure that all tests are performed according to established item specifications, standard test methods, or protocols",quality control analysts,2024.0,29
"monitor testing procedures to ensure that all tests are performed according to established item specifications, standard test methods, or protocols",quality control analysts,2025.0,12
"monitor the operating status of biomass plants by observing control system parameters, distributed control systems, switchboard gauges, dials, or other indicators",biomass power plant managers,2024.0,2
"monitor the operating status of biomass plants by observing control system parameters, distributed control systems, switchboard gauges, dials, or other indicators",biomass power plant managers,2025.0,2
monitor the payments of benefits throughout the duration of a claim,"eligibility interviewers, government programs",2023.0,1
monitor the payments of benefits throughout the duration of a claim,"eligibility interviewers, government programs",2024.0,2
monitor the payments of benefits throughout the duration of a claim,"eligibility interviewers, government programs",2025.0,3
monitor training costs and prepare budget reports to justify expenditures,training and development specialists,2023.0,26
monitor training costs and prepare budget reports to justify expenditures,training and development specialists,2024.0,96
monitor training costs and prepare budget reports to justify expenditures,training and development specialists,2025.0,34
monitor use of data files and regulate access to safeguard information in computer files,information security analysts,2023.0,39
monitor use of data files and regulate access to safeguard information in computer files,information security analysts,2024.0,166
monitor use of data files and regulate access to safeguard information in computer files,information security analysts,2025.0,61
"monitor various radio frequencies, such as those used by public works departments, school security, and civil defense, to stay apprised of developing situations",public safety telecommunicators,2024.0,4
"monitor various radio frequencies, such as those used by public works departments, school security, and civil defense, to stay apprised of developing situations",public safety telecommunicators,2025.0,2
monitor work productivity or quality to ensure compliance with standard operating procedures,clinical data managers,2023.0,26
monitor work productivity or quality to ensure compliance with standard operating procedures,clinical data managers,2024.0,152
monitor work productivity or quality to ensure compliance with standard operating procedures,clinical data managers,2025.0,81
"monitor, evaluate, or record training activities or program effectiveness",training and development specialists,2023.0,9
"monitor, evaluate, or record training activities or program effectiveness",training and development specialists,2024.0,42
"monitor, evaluate, or record training activities or program effectiveness",training and development specialists,2025.0,15
"negotiate with creditors on behalf of clients to arrange for payment adjustments, interest rate reductions, time extensions, or payment plans",credit counselors,2023.0,4
"negotiate with creditors on behalf of clients to arrange for payment adjustments, interest rate reductions, time extensions, or payment plans",credit counselors,2024.0,20
"negotiate with creditors on behalf of clients to arrange for payment adjustments, interest rate reductions, time extensions, or payment plans",credit counselors,2025.0,10
"notify credit departments, order merchandise repossession or service disconnection, and turn over account records to attorneys when customers fail to respond to collection attempts",bill and account collectors,2023.0,2
"notify credit departments, order merchandise repossession or service disconnection, and turn over account records to attorneys when customers fail to respond to collection attempts",bill and account collectors,2024.0,3
"notify credit departments, order merchandise repossession or service disconnection, and turn over account records to attorneys when customers fail to respond to collection attempts",bill and account collectors,2025.0,1
"notify departments when supplies of specific items are low, or when orders would deplete available supplies",order clerks,2024.0,3
"notify taxpayers of any overpayment or underpayment, and either issue a refund or request further payment","tax examiners and collectors, and revenue agents",2023.0,2
"notify taxpayers of any overpayment or underpayment, and either issue a refund or request further payment","tax examiners and collectors, and revenue agents",2024.0,8
"notify taxpayers of any overpayment or underpayment, and either issue a refund or request further payment","tax examiners and collectors, and revenue agents",2025.0,2
observe alarm registers and scan maps to determine whether a specific emergency is in the dispatch service area,public safety telecommunicators,2024.0,10
observe alarm registers and scan maps to determine whether a specific emergency is in the dispatch service area,public safety telecommunicators,2025.0,1
"observe casino or casino hotel operations for irregular activities, such as cheating or theft by employees or patrons, using audio and video equipment and one-way mirrors",gambling surveillance officers and gambling investigators,2023.0,2
"observe casino or casino hotel operations for irregular activities, such as cheating or theft by employees or patrons, using audio and video equipment and one-way mirrors",gambling surveillance officers and gambling investigators,2024.0,1
observe machines on trial runs or conduct computer simulations to ensure that programs and machinery will function properly and produce items that meet specifications,computer numerically controlled tool programmers,2023.0,16
observe machines on trial runs or conduct computer simulations to ensure that programs and machinery will function properly and produce items that meet specifications,computer numerically controlled tool programmers,2024.0,35
observe machines on trial runs or conduct computer simulations to ensure that programs and machinery will function properly and produce items that meet specifications,computer numerically controlled tool programmers,2025.0,12
observe pictures through monitors and direct camera and video staff concerning shading and composition,media technical directors/managers,2023.0,5
observe pictures through monitors and direct camera and video staff concerning shading and composition,media technical directors/managers,2024.0,12
observe pictures through monitors and direct camera and video staff concerning shading and composition,media technical directors/managers,2025.0,4
"obtain and compile copies of loan applicants' credit histories, corporate financial statements, and other financial information",loan officers,2023.0,3
"obtain and compile copies of loan applicants' credit histories, corporate financial statements, and other financial information",loan officers,2024.0,8
"obtain and compile copies of loan applicants' credit histories, corporate financial statements, and other financial information",loan officers,2025.0,4
"obtain and examine all relevant information to assess validity of complaints and to determine possible causes, such as extreme weather conditions that could increase utility bills",customer service representatives,2023.0,12
"obtain and examine all relevant information to assess validity of complaints and to determine possible causes, such as extreme weather conditions that could increase utility bills",customer service representatives,2024.0,30
"obtain and examine all relevant information to assess validity of complaints and to determine possible causes, such as extreme weather conditions that could increase utility bills",customer service representatives,2025.0,7
"obtain computer printout of policy cancellations, or retrieve cancellation cards from file",insurance claims and policy processing clerks,2023.0,3
"obtain computer printout of policy cancellations, or retrieve cancellation cards from file",insurance claims and policy processing clerks,2024.0,9
"obtain computer printout of policy cancellations, or retrieve cancellation cards from file",insurance claims and policy processing clerks,2025.0,1
obtain county land values and sales information about nearby properties to aid in establishment of property values,appraisers and assessors of real estate,2023.0,1
obtain county land values and sales information about nearby properties to aid in establishment of property values,appraisers and assessors of real estate,2024.0,3
obtain county land values and sales information about nearby properties to aid in establishment of property values,appraisers and assessors of real estate,2025.0,1
obtain credit records from reporting agencies,new accounts clerks,2023.0,1
obtain credit records from reporting agencies,new accounts clerks,2024.0,1
obtain credit records from reporting agencies,new accounts clerks,2025.0,2
"obtain customer information such as name, address, and payment method, and enter orders into computers",telemarketers,2023.0,3
"obtain customer information such as name, address, and payment method, and enter orders into computers",telemarketers,2024.0,9
"obtain customer information such as name, address, and payment method, and enter orders into computers",telemarketers,2025.0,2
"obtain customers' names, addresses, and billing information, product numbers, and specifications of items to be purchased, and enter this information on order forms",order clerks,2023.0,1
"obtain customers' names, addresses, and billing information, product numbers, and specifications of items to be purchased, and enter this information on order forms",order clerks,2024.0,6
"obtain customers' names, addresses, and billing information, product numbers, and specifications of items to be purchased, and enter this information on order forms",order clerks,2025.0,1
"obtain information about potential creditors from banks, credit bureaus, and other credit services, and provide reciprocal information if requested","credit authorizers, checkers, and clerks",2023.0,2
"obtain information about potential creditors from banks, credit bureaus, and other credit services, and provide reciprocal information if requested","credit authorizers, checkers, and clerks",2024.0,3
"obtain information about potential creditors from banks, credit bureaus, and other credit services, and provide reciprocal information if requested","credit authorizers, checkers, and clerks",2025.0,3
"obtain line releases for frequent shippers of low-risk commodities, high-volume entries, or multiple-container loads",customs brokers,2024.0,2
"obtain maps or drawings delineating properties from company title plants, county surveyors, or assessors' offices","title examiners, abstractors, and searchers",2024.0,13
"obtain names and telephone numbers of potential customers from sources such as telephone directories, magazine reply cards, and lists purchased from other organizations",telemarketers,2024.0,2
obtain or arrange cargo insurance,freight forwarders,2024.0,3
"obtain product information, identify vendors or suppliers, or order materials or equipment to maintain inventory",environmental engineering technologists and technicians,2023.0,3
"obtain product information, identify vendors or suppliers, or order materials or equipment to maintain inventory",environmental engineering technologists and technicians,2024.0,5
"obtain product information, identify vendors or suppliers, or order materials or equipment to maintain inventory",environmental engineering technologists and technicians,2025.0,3
"obtain, organize, or develop training procedure manuals, guides, or course materials, such as handouts or visual materials",training and development specialists,2023.0,19
"obtain, organize, or develop training procedure manuals, guides, or course materials, such as handouts or visual materials",training and development specialists,2024.0,67
"obtain, organize, or develop training procedure manuals, guides, or course materials, such as handouts or visual materials",training and development specialists,2025.0,26
"obtain, update, or maintain plans, permits, or standard operating procedures",environmental engineers,2023.0,1
"obtain, update, or maintain plans, permits, or standard operating procedures",environmental engineers,2024.0,20
"obtain, update, or maintain plans, permits, or standard operating procedures",environmental engineers,2025.0,7
"open, read, route, and distribute incoming mail or other materials and answer routine letters","secretaries and administrative assistants, except legal, medical, and executive",2023.0,4
"open, read, route, and distribute incoming mail or other materials and answer routine letters","secretaries and administrative assistants, except legal, medical, and executive",2024.0,7
"open, read, route, and distribute incoming mail or other materials and answer routine letters","secretaries and administrative assistants, except legal, medical, and executive",2025.0,2
"open, sort, and distribute incoming correspondence, including faxes and email",executive secretaries and executive administrative assistants,2023.0,12
"open, sort, and distribute incoming correspondence, including faxes and email",executive secretaries and executive administrative assistants,2024.0,24
"open, sort, and distribute incoming correspondence, including faxes and email",executive secretaries and executive administrative assistants,2025.0,13
"operate 10-key calculators, typewriters, and copy machines to perform calculations and produce documents","bookkeeping, accounting, and auditing clerks",2023.0,5
"operate 10-key calculators, typewriters, and copy machines to perform calculations and produce documents","bookkeeping, accounting, and auditing clerks",2024.0,14
"operate 10-key calculators, typewriters, and copy machines to perform calculations and produce documents","bookkeeping, accounting, and auditing clerks",2025.0,8
operate and calibrate computer systems and devices to comply with test requirements and to perform data acquisition and analysis,aerospace engineering and operations technologists and technicians,2023.0,12
operate and calibrate computer systems and devices to comply with test requirements and to perform data acquisition and analysis,aerospace engineering and operations technologists and technicians,2024.0,51
operate and calibrate computer systems and devices to comply with test requirements and to perform data acquisition and analysis,aerospace engineering and operations technologists and technicians,2025.0,28
operate and maintain laser plate-making equipment that converts electronic data to plates without the use of film,prepress technicians and workers,2023.0,1
operate and maintain laser plate-making equipment that converts electronic data to plates without the use of film,prepress technicians and workers,2024.0,2
operate and maintain laser plate-making equipment that converts electronic data to plates without the use of film,prepress technicians and workers,2025.0,2
"operate and manage land-information computer systems, performing tasks such as storing data, making inquiries, and producing plots and reports",surveying and mapping technicians,2023.0,7
"operate and manage land-information computer systems, performing tasks such as storing data, making inquiries, and producing plots and reports",surveying and mapping technicians,2024.0,20
"operate and manage land-information computer systems, performing tasks such as storing data, making inquiries, and producing plots and reports",surveying and mapping technicians,2025.0,4
operate computer-assisted engineering or design software or equipment to perform electronics engineering tasks,"electronics engineers, except computer",2023.0,18
operate computer-assisted engineering or design software or equipment to perform electronics engineering tasks,"electronics engineers, except computer",2024.0,83
operate computer-assisted engineering or design software or equipment to perform electronics engineering tasks,"electronics engineers, except computer",2025.0,34
operate computer-assisted engineering or design software or equipment to perform engineering tasks,electrical engineers,2023.0,23
operate computer-assisted engineering or design software or equipment to perform engineering tasks,electrical engineers,2024.0,63
operate computer-assisted engineering or design software or equipment to perform engineering tasks,electrical engineers,2025.0,26
"operate computers programmed with accounting software to record, store, and analyze information","bookkeeping, accounting, and auditing clerks",2023.0,4
"operate computers programmed with accounting software to record, store, and analyze information","bookkeeping, accounting, and auditing clerks",2024.0,14
"operate computers programmed with accounting software to record, store, and analyze information","bookkeeping, accounting, and auditing clerks",2025.0,8
operate control consoles,broadcast announcers and radio disc jockeys,2023.0,1
operate control consoles,broadcast announcers and radio disc jockeys,2025.0,1
operate data capture technology to import digitized documents into document management system,document management specialists,2023.0,15
operate data capture technology to import digitized documents into document management system,document management specialists,2024.0,70
operate data capture technology to import digitized documents into document management system,document management specialists,2025.0,29
"operate desktop publishing software and equipment to design, lay out, and produce camera-ready copy",desktop publishers,2023.0,3
"operate desktop publishing software and equipment to design, lay out, and produce camera-ready copy",desktop publishers,2024.0,7
"operate desktop publishing software and equipment to design, lay out, and produce camera-ready copy",desktop publishers,2025.0,9
operate digital picture archiving communications systems,radiologic technologists and technicians,2023.0,1
operate digital picture archiving communications systems,radiologic technologists and technicians,2024.0,6
operate digital picture archiving communications systems,radiologic technologists and technicians,2025.0,3
"operate electronic mail systems and coordinate the flow of information, internally or with other organizations","secretaries and administrative assistants, except legal, medical, and executive",2023.0,1
operate master consoles to monitor the performance of computer systems and networks and to coordinate computer network access and use,network and computer systems administrators,2023.0,36
operate master consoles to monitor the performance of computer systems and networks and to coordinate computer network access and use,network and computer systems administrators,2024.0,102
operate master consoles to monitor the performance of computer systems and networks and to coordinate computer network access and use,network and computer systems administrators,2025.0,39
"operate office equipment, such as voice mail messaging systems, and use word processing, spreadsheet, or other software applications to prepare reports, invoices, financial statements, letters, case histories, or medical records",medical secretaries and administrative assistants,2023.0,5
"operate office equipment, such as voice mail messaging systems, and use word processing, spreadsheet, or other software applications to prepare reports, invoices, financial statements, letters, case histories, or medical records",medical secretaries and administrative assistants,2024.0,38
"operate office equipment, such as voice mail messaging systems, and use word processing, spreadsheet, or other software applications to prepare reports, invoices, financial statements, letters, case histories, or medical records",medical secretaries and administrative assistants,2025.0,14
operate scalehouse computers to obtain weight information about incoming shipments such as those from waste haulers,"weighers, measurers, checkers, and samplers, recordkeeping",2024.0,5
operate scalehouse computers to obtain weight information about incoming shipments such as those from waste haulers,"weighers, measurers, checkers, and samplers, recordkeeping",2025.0,2
"operate typing, adding, calculating, or billing machines",billing and posting clerks,2023.0,1
"operate typing, adding, calculating, or billing machines",billing and posting clerks,2024.0,2
"operate typing, adding, calculating, or billing machines",billing and posting clerks,2025.0,1
"optimize digital assets, such as text, graphics, or multimedia assets, for search engine optimization (seo) or for display and usability on internet-connected devices",search marketing strategists,2023.0,10
"optimize digital assets, such as text, graphics, or multimedia assets, for search engine optimization (seo) or for display and usability on internet-connected devices",search marketing strategists,2024.0,38
"optimize digital assets, such as text, graphics, or multimedia assets, for search engine optimization (seo) or for display and usability on internet-connected devices",search marketing strategists,2025.0,16
optimize shopping cart experience or web site conversion rates against key performance indicators (kpis),search marketing strategists,2023.0,3
optimize shopping cart experience or web site conversion rates against key performance indicators (kpis),search marketing strategists,2024.0,17
optimize shopping cart experience or web site conversion rates against key performance indicators (kpis),search marketing strategists,2025.0,6
optimize web site exposure by analyzing search engine patterns to direct online placement of keywords or other content,search marketing strategists,2023.0,8
optimize web site exposure by analyzing search engine patterns to direct online placement of keywords or other content,search marketing strategists,2024.0,38
optimize web site exposure by analyzing search engine patterns to direct online placement of keywords or other content,search marketing strategists,2025.0,18
order drugs or devices necessary for study completion,clinical research coordinators,2023.0,7
order drugs or devices necessary for study completion,clinical research coordinators,2024.0,55
order drugs or devices necessary for study completion,clinical research coordinators,2025.0,31
"order new test equipment, supplies, or replacement parts",automotive engineering technicians,2023.0,10
"order new test equipment, supplies, or replacement parts",automotive engineering technicians,2024.0,11
"order new test equipment, supplies, or replacement parts",automotive engineering technicians,2025.0,7
order or purchase merchandise to maintain optimal inventory levels,online merchants,2023.0,3
order or purchase merchandise to maintain optimal inventory levels,online merchants,2024.0,11
order or purchase merchandise to maintain optimal inventory levels,online merchants,2025.0,1
order property insurance or mortgage insurance policies to ensure protection against loss on mortgaged property,loan interviewers and clerks,2023.0,1
order property insurance or mortgage insurance policies to ensure protection against loss on mortgaged property,loan interviewers and clerks,2024.0,6
order property insurance or mortgage insurance policies to ensure protection against loss on mortgaged property,loan interviewers and clerks,2025.0,3
order supplies or equipment and issue them to personnel,"dispatchers, except police, fire, and ambulance",2023.0,2
order supplies or equipment and issue them to personnel,"dispatchers, except police, fire, and ambulance",2024.0,7
order supplies or equipment and issue them to personnel,"dispatchers, except police, fire, and ambulance",2025.0,1
organize and maintain geospatial data and associated documentation,remote sensing scientists and technologists,2023.0,9
organize and maintain geospatial data and associated documentation,remote sensing scientists and technologists,2024.0,33
organize and maintain geospatial data and associated documentation,remote sensing scientists and technologists,2025.0,12
"organize and maintain law libraries, documents, and case files",legal secretaries and administrative assistants,2023.0,10
"organize and maintain law libraries, documents, and case files",legal secretaries and administrative assistants,2024.0,33
"organize and maintain law libraries, documents, and case files",legal secretaries and administrative assistants,2025.0,13
organize and string together raw footage into a continuous whole according to scripts or the instructions of directors and producers,film and video editors,2023.0,5
organize and string together raw footage into a continuous whole according to scripts or the instructions of directors and producers,film and video editors,2024.0,10
organize and string together raw footage into a continuous whole according to scripts or the instructions of directors and producers,film and video editors,2025.0,5
organize flight plans or traffic management plans to prepare for planes about to enter assigned airspace,air traffic controllers,2024.0,5
"organize material and complete writing assignment according to set standards regarding order, clarity, conciseness, style, and terminology",technical writers,2023.0,32
"organize material and complete writing assignment according to set standards regarding order, clarity, conciseness, style, and terminology",technical writers,2024.0,121
"organize material and complete writing assignment according to set standards regarding order, clarity, conciseness, style, and terminology",technical writers,2025.0,69
"organize or work with detailed office or warehouse records, using computers to enter, access, search or retrieve data",insurance claims and policy processing clerks,2023.0,4
"organize or work with detailed office or warehouse records, using computers to enter, access, search or retrieve data",insurance claims and policy processing clerks,2024.0,15
"organize or work with detailed office or warehouse records, using computers to enter, access, search or retrieve data",insurance claims and policy processing clerks,2025.0,6
oversee all communications within specifically assigned territories,"dispatchers, except police, fire, and ambulance",2023.0,3
oversee all communications within specifically assigned territories,"dispatchers, except police, fire, and ambulance",2024.0,14
oversee all communications within specifically assigned territories,"dispatchers, except police, fire, and ambulance",2025.0,2
"oversee internal reporting systems, such as corporate compliance hotlines",compliance managers,2023.0,5
"oversee internal reporting systems, such as corporate compliance hotlines",compliance managers,2024.0,19
"oversee internal reporting systems, such as corporate compliance hotlines",compliance managers,2025.0,9
"oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements",editors,2023.0,5
"oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements",editors,2024.0,31
"oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements",editors,2025.0,21
oversee the daily performance of computer systems,computer user support specialists,2023.0,42
oversee the daily performance of computer systems,computer user support specialists,2024.0,145
oversee the daily performance of computer systems,computer user support specialists,2025.0,54
oversee the flow of cash or financial instruments,financial managers,2023.0,1
oversee the flow of cash or financial instruments,financial managers,2024.0,7
oversee the flow of cash or financial instruments,financial managers,2025.0,7
participate in continuing education activities to maintain and develop expertise,radiologists,2023.0,3
participate in continuing education activities to maintain and develop expertise,radiologists,2024.0,18
participate in continuing education activities to maintain and develop expertise,radiologists,2025.0,7
"participate in design and production of multimedia campaigns, handling budgeting and scheduling, and assisting with such responsibilities as production coordination, background design, and progress tracking",special effects artists and animators,2023.0,6
"participate in design and production of multimedia campaigns, handling budgeting and scheduling, and assisting with such responsibilities as production coordination, background design, and progress tracking",special effects artists and animators,2024.0,17
"participate in design and production of multimedia campaigns, handling budgeting and scheduling, and assisting with such responsibilities as production coordination, background design, and progress tracking",special effects artists and animators,2025.0,5
"participate in online forums or conferences to stay abreast of online retailing trends, techniques, or security threats",online merchants,2023.0,11
"participate in online forums or conferences to stay abreast of online retailing trends, techniques, or security threats",online merchants,2024.0,33
"participate in online forums or conferences to stay abreast of online retailing trends, techniques, or security threats",online merchants,2025.0,7
participate in preparation of product usage and precautionary label instructions,"health and safety engineers, except mining safety engineers and inspectors",2023.0,3
participate in preparation of product usage and precautionary label instructions,"health and safety engineers, except mining safety engineers and inspectors",2024.0,21
participate in preparation of product usage and precautionary label instructions,"health and safety engineers, except mining safety engineers and inspectors",2025.0,11
participate in quality improvement activities including discussions of areas where risk of error is high,radiologists,2023.0,5
participate in quality improvement activities including discussions of areas where risk of error is high,radiologists,2024.0,32
participate in quality improvement activities including discussions of areas where risk of error is high,radiologists,2025.0,15
"participate in research or testing of computerized automotive applications, such as telemetrics, intelligent transportation systems, artificial intelligence, or automatic control",automotive engineering technicians,2023.0,71
"participate in research or testing of computerized automotive applications, such as telemetrics, intelligent transportation systems, artificial intelligence, or automatic control",automotive engineering technicians,2024.0,183
"participate in research or testing of computerized automotive applications, such as telemetrics, intelligent transportation systems, artificial intelligence, or automatic control",automotive engineering technicians,2025.0,77
participate in the development or implementation of online marketing strategy,search marketing strategists,2023.0,7
participate in the development or implementation of online marketing strategy,search marketing strategists,2024.0,44
participate in the development or implementation of online marketing strategy,search marketing strategists,2025.0,8
participate in the publication of data or information,statistical assistants,2023.0,4
participate in the publication of data or information,statistical assistants,2024.0,18
participate in the publication of data or information,statistical assistants,2025.0,14
pay and process claims within designated authority level,"claims adjusters, examiners, and investigators",2023.0,1
pay and process claims within designated authority level,"claims adjusters, examiners, and investigators",2024.0,4
pay and process claims within designated authority level,"claims adjusters, examiners, and investigators",2025.0,1
pay or arrange for payment of freight or insurance fees or other charges,freight forwarders,2023.0,1
pay or arrange for payment of freight or insurance fees or other charges,freight forwarders,2024.0,5
pay or arrange for payment of freight or insurance fees or other charges,freight forwarders,2025.0,2
pay small claims,insurance claims and policy processing clerks,2023.0,1
pay small claims,insurance claims and policy processing clerks,2024.0,7
pay small claims,insurance claims and policy processing clerks,2025.0,2
"perform ""preflight"" check of required font, graphic, text and image files to ensure completeness prior to delivery to printer",prepress technicians and workers,2023.0,2
"perform ""preflight"" check of required font, graphic, text and image files to ensure completeness prior to delivery to printer",prepress technicians and workers,2024.0,5
"perform ""preflight"" check of required font, graphic, text and image files to ensure completeness prior to delivery to printer",prepress technicians and workers,2025.0,7
"perform accounting and bookkeeping activities, such as invoicing, maintaining financial records, budgeting, and handling cash","library assistants, clerical",2023.0,1
"perform accounting and bookkeeping activities, such as invoicing, maintaining financial records, budgeting, and handling cash","library assistants, clerical",2024.0,4
"perform accounting and bookkeeping activities, such as invoicing, maintaining financial records, budgeting, and handling cash","library assistants, clerical",2025.0,3
"perform administrative duties, such as preparing operational reports, distributing rehearsal call sheets and script copies, and arranging for rehearsal quarters",producers and directors,2023.0,3
"perform administrative duties, such as preparing operational reports, distributing rehearsal call sheets and script copies, and arranging for rehearsal quarters",producers and directors,2024.0,12
"perform administrative duties, such as preparing operational reports, distributing rehearsal call sheets and script copies, and arranging for rehearsal quarters",producers and directors,2025.0,7
"perform administrative functions, such as reviewing or writing reports, approving expenditures, enforcing rules, or purchasing of materials or services",architectural and engineering managers,2023.0,13
"perform administrative functions, such as reviewing or writing reports, approving expenditures, enforcing rules, or purchasing of materials or services",architectural and engineering managers,2024.0,64
"perform administrative functions, such as reviewing or writing reports, approving expenditures, enforcing rules, or purchasing of materials or services",architectural and engineering managers,2025.0,30
"perform bookkeeping duties, such as credits or collections, preparing and sending financial statements or bills, and keeping financial records",medical secretaries and administrative assistants,2023.0,6
"perform bookkeeping duties, such as credits or collections, preparing and sending financial statements or bills, and keeping financial records",medical secretaries and administrative assistants,2024.0,12
"perform bookkeeping duties, such as credits or collections, preparing and sending financial statements or bills, and keeping financial records",medical secretaries and administrative assistants,2025.0,6
"perform bookkeeping work, including posting data or keeping other records concerning costs of goods or services or the shipment of goods",billing and posting clerks,2023.0,2
"perform bookkeeping work, including posting data or keeping other records concerning costs of goods or services or the shipment of goods",billing and posting clerks,2024.0,12
"perform bookkeeping work, including posting data or keeping other records concerning costs of goods or services or the shipment of goods",billing and posting clerks,2025.0,3
"perform complex calculations as part of the analysis and evaluation of data, using computers",physicists,2023.0,35
"perform complex calculations as part of the analysis and evaluation of data, using computers",physicists,2024.0,128
"perform complex calculations as part of the analysis and evaluation of data, using computers",physicists,2025.0,64
perform computations and apply methods of numerical analysis to data,mathematicians,2023.0,51
perform computations and apply methods of numerical analysis to data,mathematicians,2024.0,177
perform computations and apply methods of numerical analysis to data,mathematicians,2025.0,85
"perform computer programming, data analysis, or software development for geographic information systems (gis) applications, including the maintenance of existing systems or research and development for future enhancements",geographic information systems technologists and technicians,2023.0,79
"perform computer programming, data analysis, or software development for geographic information systems (gis) applications, including the maintenance of existing systems or research and development for future enhancements",geographic information systems technologists and technicians,2024.0,283
"perform computer programming, data analysis, or software development for geographic information systems (gis) applications, including the maintenance of existing systems or research and development for future enhancements",geographic information systems technologists and technicians,2025.0,120
perform computer simulation of solar photovoltaic (pv) generation system performance or energy production to optimize efficiency,solar energy systems engineers,2023.0,6
perform computer simulation of solar photovoltaic (pv) generation system performance or energy production to optimize efficiency,solar energy systems engineers,2024.0,18
perform computer simulation of solar photovoltaic (pv) generation system performance or energy production to optimize efficiency,solar energy systems engineers,2025.0,12
perform data backups and disaster recovery operations,network and computer systems administrators,2023.0,78
perform data backups and disaster recovery operations,network and computer systems administrators,2024.0,325
perform data backups and disaster recovery operations,network and computer systems administrators,2025.0,129
"perform data entry and data retrieval services, providing data for inclusion in medical records and for transmission to physicians",medical transcriptionists,2023.0,9
"perform data entry and data retrieval services, providing data for inclusion in medical records and for transmission to physicians",medical transcriptionists,2024.0,62
"perform data entry and data retrieval services, providing data for inclusion in medical records and for transmission to physicians",medical transcriptionists,2025.0,25
perform data entry and other clerical work as required for project completion,social science research assistants,2023.0,5
perform data entry and other clerical work as required for project completion,social science research assistants,2024.0,35
perform data entry and other clerical work as required for project completion,social science research assistants,2025.0,20
"perform descriptive and multivariate statistical analyses of data, using computer software",social science research assistants,2023.0,33
"perform descriptive and multivariate statistical analyses of data, using computer software",social science research assistants,2024.0,165
"perform descriptive and multivariate statistical analyses of data, using computer software",social science research assistants,2025.0,86
"perform detailed calculations to compute and establish manufacturing, construction, or installation standards or specifications",electrical engineers,2023.0,3
"perform detailed calculations to compute and establish manufacturing, construction, or installation standards or specifications",electrical engineers,2024.0,12
"perform detailed calculations to compute and establish manufacturing, construction, or installation standards or specifications",electrical engineers,2025.0,6
perform environmentally extended input-output (ee i-o) analyses,industrial ecologists,2023.0,3
perform environmentally extended input-output (ee i-o) analyses,industrial ecologists,2024.0,5
perform environmentally extended input-output (ee i-o) analyses,industrial ecologists,2025.0,8
"perform failure, variation, or root cause analyses",automotive engineers,2023.0,12
"perform failure, variation, or root cause analyses",automotive engineers,2024.0,9
"perform failure, variation, or root cause analyses",automotive engineers,2025.0,5
